id,created_at,text
764466421472473089,2016-08-13 14:19:32,"RT @ncardozo: .@Comodo_SSL is trying to trademark ""Let's Encrypt"" out from under the real @letsencrypt.
THAT'S SOME BULLSHIT.
https://t.co/…"
711050026181468160,2016-03-19 04:41:51,RT @newsycombinator: How Many Decimals of Pi Do We Really Need? https://t.co/Fuc2DghvIS
711049258342846464,2016-03-19 04:38:48,"RT @erikbryn: Now that Go is off the list, there are only a few games left for AI
HT: @MelMitchell1 
#AlphaGo 
#2MA https://t.co/SMl0ihlVVp"
711048915101945857,2016-03-19 04:37:26,RT @paulg: Whitespace is a form of comment.
709336026385223680,2016-03-14 11:11:02,Incredible India https://t.co/1fMDXOizY2
709335811615883265,2016-03-14 11:10:10,RT @newsycombinator: ExoMars launch scheduled for 09:31 GMT (10:31 CET) https://t.co/FO0idBTqfM
709335764052488192,2016-03-14 11:09:59,RT @TheBardockObama: Me trying to get my life together https://t.co/2esiOzYXrz
709326992294809601,2016-03-14 10:35:08,Lol https://t.co/RlsCIo3tcj
705000886456623104,2016-03-02 12:04:44,RT @toddmotto: Don't judge a developer by their GitHub profile. Some of the smartest contributions I've seen are from people with 0 followe…
701283852723970048,2016-02-21 05:54:34,"@Nitesh_Oswal but, then you cannot stop laughing at their problem"
701282790600368128,2016-02-21 05:50:21,That moment when you do a solid for someone..
699764131721678848,2016-02-17 01:15:44,"RT @Snowden: ""please clap"" https://t.co/iAHUHlN3X1"
693213052162838529,2016-01-29 23:24:05,RT @grimmelm: @_rsc This is a story to make you cry. https://t.co/88W895d3Wf
689412590242439168,2016-01-19 11:42:24,Back to back. https://t.co/krRNF3XKaf
689410383644196865,2016-01-19 11:33:38,Yay! https://t.co/oqORzZWis8
688383773801492480,2016-01-16 15:34:15,True.. https://t.co/yfLEQ3DvRm
688383552879120385,2016-01-16 15:33:23,#StartupIndia is ON! And super promising!
688335004426829824,2016-01-16 12:20:28,Wikipedia is bae.. https://t.co/0ueJV8g4zL #wikipedia15
684058978536435712,2016-01-04 17:09:04,https://t.co/CPJs92pb3b Finally updated @LinkedIn go stalk me professionally now!
682643260632772608,2015-12-31 19:23:30,"2015S is here early, perks of living in IST."
681774968527388672,2015-12-29 09:53:13,RT @H3bK11: What It's Really Like To #Work For #Tech Giant.Is #SiliconValley In #SanFrancisco ? https://t.co/K6lcFmZuPy #Twitter https://t.…
680255712191053824,2015-12-25 05:16:14,When #exams slow you down..
678899851975757824,2015-12-21 11:28:32,"What you can't remember, goes into the documentation"
676087581247860737,2015-12-13 17:13:35,Must get my shit together after these exams
